Age,NormGrp,Mn,SD,Scale
8,Total,4.76,4.02,GI
9,Total,4.93,4.74,GI
10,Total,4.31,4.22,GI
11,Total,4.31,3.92,GI
12,Total,4.26,4.09,GI
13,Total,4.23,4.33,GI
14,Total,4.16,4.27,GI
15,Total,3.36,4.01,GI
16,Total,3.8,4.77,GI
17,Total,3.9,4,GI
18,Total,3.9,4,GI
6,Male,5.73,4.13,AN
7,Male,6.19,5.07,AN
8,Male,6.02,6.15,AN
9,Male,6.29,4.31,AN
10,Male,6.51,4.75,AN
11,Male,7.12,4.8,AN
12,Male,7,5.91,AN
13,Male,6.98,5.37,AN
14,Male,6.94,5.47,AN
15,Male,5.86,4.36,AN
16,Male,5.92,54.23,AN
17,Male,5.24,4.91,AN
18,Male,5.24,4.91,AN
6,Female,5,3.85,AN
7,Female,4.86,4.39,AN
8,Female,5.02,4.45,AN
9,Female,5.44,4.48,AN
10,Female,5.24,4.35,AN
11,Female,5.2,3.83,AN
12,Female,5.12,4.44,AN
13,Female,5.12,4.44,AN
14,Female,5.29,5.37,AN
15,Female,5.06,4.57,AN
16,Female,4.9,5.89,AN
17,Female,5.42,5.54,AN
18,Female,5.42,5.54,AN
6,Total,5.36,3.99,AN
7,Total,5.82,4.75,AN
8,Total,5.52,5.36,AN
9,Total,6.17,4.45,AN
10,Total,5.87,4.58,AN
11,Total,6.17,4.43,AN
12,Total,6.4,5.19,AN
13,Total,6.02,5.21,AN
14,Total,6.02,5.21,AN
15,Total,5.46,4.46,AN
16,Total,5.4,5.14,AN
17,Total,5.59,5.04,AN
18,Total,5.59,5.04,AN
6,Male,7.33,4.9,AH
7,Male,7.49,5.63,AH
8,Male,6.16,5.52,AH
9,Male,6.71,5.65,AH
10,Male,4.8,4.38,AH
11,Male,4.44,3.94,AH
12,Male,4.18,4.74,AH
13,Male,4.21,4.35,AH
14,Male,4.21,4.35,AH
15,Male,2.83,3.3,AH
16,Male,2.91,3.55,AH
17,Male,2.57,3.47,AH
18,Male,2.57,3.47,AH
6,Female,6.16,4.6,AH
7,Female,5.66,4.92,AH
8,Female,6,5.09,AH
9,Female,5.17,4.78,AH
10,Female,3.98,3.73,AH
11,Female,3.74,3.8,AH
12,Female,3.86,4.28,AH
13,Female,3.48,3.69,AH
14,Female,3.84,4.39,AH
15,Female,3,3.44,AH
16,Female,3.16,4.05,AH
17,Female,3.09,4.32,AH
18,Female,3.09,4.32,AH
6,Total,6.73,4.76,AH
7,Total,6.82,6.12,AH
8,Total,6.08,5.29,AH
9,Total,5.17,4.7,AH
10,Total,5.17,4.7,AH
11,Total,4.08,3.86,AH
12,Total,4.02,4.49,AH
13,Total,4.29,4.51,AH
14,Total,4.27,4.32,AH
15,Total,3.48,3.87,AH
16,Total,3.25,3.95,AH
17,Total,2.82,3.89,AH
18,Total,2.82,3.89,AH
6,Male,0.67,2.07,CD
7,Male,1.13,2.02,CD
8,Male,1.05,1.64,CD
9,Male,1.08,1.72,CD
10,Male,1.12,2.32,CD
11,Male,1.16,1.61,CD
12,Male,1.06,1.88,CD
13,Male,1.52,2.17,CD
14,Male,1.96,2.99,CD
15,Male,1.67,2.36,CD
16,Male,1.83,2.98,CD
17,Male,1.43,2.47,CD
18,Male,1.43,2.47,CD
6,Female,1.02,1.94,CD
7,Female,0.8,1.85,CD
8,Female,0.9,1.33,CD
9,Female,0.84,1.13,CD
10,Female,0.76,1.27,CD
11,Female,0.88,1.36,CD
12,Female,0.84,1.2,CD
13,Female,0.69,1.29,CD
14,Female,1.03,1.97,CD
15,Female,1.04,2.13,CD
16,Female,0.98,1.96,CD
17,Female,1.16,1.91,CD
18,Female,1.16,1.91,CD
6,Total,0.85,2,CD
7,Total,0.96,1.93,CD
8,Total,0.92,1.24,CD
9,Total,0.96,1.46,CD
