Age,NormGrp,Mn,SD,Scale
13,Total,2.19,3.26,PR
14,Total,2.36,3.52,PR
15,Total,2.04,3.12,PR
16,Total,2.32,3.64,PR
17,Total,2.39,3.13,PR
18,Total,2.39,3.13,PR
6,Male,5.93,4.84,GI
7,Male,4.64,4.76,GI
8,Male,4.31,4.51,GI
9,Male,3.6,4.91,GI
10,Male,3.7,4.31,GI
11,Male,4.19,4.52,GI
12,Male,3.42,4.2,GI
13,Male,2.95,3.84,GI
14,Male,2.96,4.01,GI
15,Male,2.58,3.67,GI
16,Male,2.96,4.49,GI
17,Male,2.74,3.47,GI
18,Male,2.74,3.47,GI
6,Female,2.65,3.33,GI
7,Female,2.33,3.11,GI
8,Female,2.94,3.48,GI
9,Female,2.26,3.68,GI
10,Female,2.52,3.11,GI
11,Female,1.81,2.41,GI
12,Female,1.61,2.41,GI
13,Female,1.46,2.37,GI
14,Female,1.76,2.85,GI
15,Female,1.52,2.39,GI
16,Female,1.72,2.52,GI
17,Female,1.04,2.73,GI
18,Female,1.04,2.73,GI
6,Total,4.18,4.4,GI
7,Total,3.61,4.2,GI
8,Total,3.62,4.07,GI
9,Total,2.93,4.37,GI
10,Total,3.09,3.77,GI
11,Total,2.74,3.68,GI
12,Total,2.51,3.52,GI
13,Total,2.19,3.26,GI
14,Total,2.36,3.52,GI
15,Total,2.04,3.12,GI
16,Total,2.32,3.64,GI
17,Total,2.39,3.13,GI
18,Total,2.39,3.13,GI
6,Male,8.51,7.4,AN
7,Male,7.36,6.18,AN
8,Male,6.22,6.55,AN
9,Male,5.88,7.57,AN
10,Male,6.66,7.52,AN
11,Male,6.4,6.06,AN
12,Male,5.71,5.8,AN
13,Male,5.52,6.42,AN
14,Male,4.92,6.21,AN
15,Male,4.96,5.91,AN
16,Male,5.27,5.83,AN
17,Male,4.82,4.68,AN
18,Male,4.82,4.68,AN
6,Female,4.86,6.48,AN
7,Female,3.57,6.27,AN
8,Female,4.67,6.09,AN
9,Female,4.22,5.1,AN
10,Female,3.76,4.24,AN
11,Female,3.18,3.73,AN
12,Female,3.04,3.71,AN
13,Female,2.69,3.79,AN
14,Female,3.41,4.73,AN
15,Female,3.3,4.23,AN
16,Female,3.81,4.33,AN
17,Female,3.81,4.33,AN
18,Female,3.81,4.33,AN
6,Total,6.36,7.21,AN
7,Total,5.48,6.48,AN
8,Total,5.05,5.98,AN
9,Total,5.05,6.48,AN
10,Total,5.21,6.25,AN
11,Total,4.61,5.19,AN
12,Total,4.36,5.02,AN
13,Total,4.11,5.5,AN
14,Total,4.17,5.55,AN
15,Total,3.82,5.01,AN
16,Total,4.53,5.19,AN
17,Total,4.53,5.19,AN
18,Total,4.53,5.19,AN
6,Male,7.58,6.36,AH
7,Male,6.89,5.65,AH
8,Male,5.72,5.47,AH
9,Male,4.92,5.37,AH
10,Male,5.18,5.56,AH
11,Male,5.69,5.57,AH
12,Male,3.89,5.33,AH
13,Male,3.37,4.93,AH
14,Male,3.37,4.93,AH
15,Male,2.66,4.22,AH
16,Male,2.83,4.93,AH
17,Male,2.52,3.75,AH
18,Male,2.52,3.75,AH
6,Female,3.49,4.53,AH
7,Female,2.64,3.68,AH
8,Female,3.18,3.83,AH
9,Female,2.82,4.16,AH
10,Female,3.6,4.49,AH
11,Female,2.66,3.47,AH
12,Female,1.96,2.69,AH
13,Female,1.73,2.94,AH
14,Female,1.84,3.6,AH
15,Female,1.74,3.03,AH
16,Female,1.77,2.85,AH
17,Female,1.77,2.85,AH
18,Female,1.77,2.85,AH
6,Total,5.33,5.77,AH
7,Total,4.69,5.17,AH
8,Total,4.43,4.85,AH
9,Total,4.05,4.86,AH
10,Total,4.38,5.08,AH
11,Total,3.68,4.75,AH
12,Total,2.92,4.39,AH
13,Total,2.66,4.28,AH
14,Total,2.99,4.85,AH
15,Total,2.47,4.16,AH
16,Total,2.61,2.24,AH
17,Total,2.23,3.43,AH
18,Total,2.23,3.43,AH
6,Male,1.5,2.63,CD
7,Male,1.14,2.14,CD
8,Male,0.89,1.74,CD
9,Male,0.89,1.74,CD
10,Male,0.96,1.85,CD
11,Male,1.14,2.24,CD
12,Male,0.78,2.13,CD
13,Male,0.8,1.81,CD
14,Male,0.94,1.92,CD
15,Male,0.82,1.79,CD
16,Male,0.96,2.07,CD
17,Male,1.2,1.75,CD
18,Male,1.2,1.75,CD
6,Female,0.38,0.99,CD
7,Female,0.48,1.41,CD
8,Female,0.68,1.82,CD
9,Female,0.5,1.34,CD
10,Female,0.44,1.18,CD
11,Female,0.38,0.95,CD
12,Female,0.42,0.87,CD
13,Female,0.33,1.01,CD
14,Female,0.56,1.4,CD
15,Female,0.52,1.28,CD
16,Female,0.88,1.27,CD
17,Female,1.06,1.36,CD
18,Female,1.06,1.36,CD
6,Total,0.93,2.04,CD
7,Total,0.81,2,CD
8,Total,0.79,1.7,CD
9,Total,0.67,1.51,CD
10,Total,0.7,1.57,CD
11,Total,0.73,1.74,CD
12,Total,0.6,1.64,CD
13,Total,0.56,1.48,CD
14,Total,0.62,1.49,CD
15,Total,0.54,1.32,CD
16,Total,0.86,1.53,CD
17,Total,0.86,1.53,CD
18,Total,0.86,1.53,CD
6,Male,2.03,2.43,OD
7,Male,1.42,2.41,OD
8,Male,1.8,2.24,OD
9,Male,1.33,2.35,OD
10,Male,1.22,2.2,OD
11,Male,1.48,2.49,OD
12,Male,1.02,1.96,OD
13,Male,1.18,2.32,OD
14,Male,1.13,1.84,OD
15,Male,0.86,1.64,OD
16,Male,0.8,1.66,OD
17,Male,1.15,1.78,OD
18,Male,1.15,1.78,OD
6,Female,0.73,1.57,OD
7,Female,0.56,1.51,OD
8,Female,0.9,1.49,OD
9,Female,0.83,1.85,OD
10,Female,0.69,1.31,OD
11,Female,0.52,1.24,OD
12,Female,0.51,1.6,OD
13,Female,0.56,1.47,OD
14,Female,0.71,1.73,OD
15,Female,0.62,1.28,OD
16,Female,0.88,1.48,OD
17,Female,1.13,1.84,OD
18,Female,1.13,1.84,OD
6,Total,1.32,2.1,OD
7,Total,1.22,2.03,OD
8,Total,1.35,1.95,OD
9,Total,1.07,2.11,OD
10,Total,0.91,1.85,OD
11,Total,0.89,1.9,OD
12,Total,0.82,1.84,OD
13,Total,0.8,1.83,OD
14,Total,0.8,1.63,OD
15,Total,0.8,1.63,OD
16,Total,0.84,1.56,OD
17,Total,1.14,1.81,OD
18,Total,1.14,1.81,OD
